channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
8371333,8388607,-3619639,-140549,8388607,-7446050,-3453358,2616732,1405125867.448969,0
8371344,8388607,-3619100,-139777,8388607,-7445972,-3452613,2617557,1405125867.455868,0
8371201,8388607,-3618773,-139292,8388607,-7445748,-3452054,2618234,1405125867.462461,0
8371301,8388607,-3619243,-140046,8388607,-7445806,-3452729,2617947,1405125867.471599,0
8371386,8388607,-3618973,-139671,8388607,-7445756,-3452928,2618290,1405125867.476916,0
8371413,8388607,-3618724,-139346,8388607,-7445632,-3452697,2618973,1405125867.482475,0
8371516,8388607,-3618822,-139547,8388607,-7445679,-3453376,2618757,1405125867.490518,0
8370981,8388607,-3618167,-138708,8388607,-7444982,-3452122,2620193,1405125867.496885,0
8371386,8388607,-3618784,-139564,8388607,-7445299,-3453407,2619660,1405125867.505267,0
8371076,8388607,-3617826,-138130,8388607,-7444818,-3452361,2620896,1405125867.51081,0
8371279,8388607,-3617631,-137818,8388607,-7444952,-3452389,2621091,1405125867.518007,0
8371343,8388607,-3617886,-138398,8388607,-7444902,-3453169,2621019,1405125867.532071,0
8371133,8388607,-3617305,-137583,8388607,-7444534,-3452197,2622304,1405125867.541155,0
8371549,8388607,-3617815,-138274,8388607,-7444916,-3453203,2621775,1405125867.545778,0
8371560,8388607,-3617091,-137166,8388607,-7444774,-3452688,2622685,1405125867.550949,0
8371527,8388607,-3617249,-137523,8388607,-7444604,-3452954,2623044,1405125867.556709,0
8371488,8388607,-3616727,-136737,8388607,-7444420,-3452703,2623793,1405125867.562239,0
8371333,8388607,-3616255,-135995,8388607,-7444184,-3452204,2624421,1405125867.566911,0
8371772,8388607,-3617117,-137397,8388607,-7444532,-3453603,2623907,1405125867.572846,0
8371378,8388607,-3616091,-135995,8388607,-7443969,-3452296,2625434,1405125867.579347,0
8371868,8388607,-3616277,-136307,8388607,-7444344,-3453374,2625153,1405125867.58542,0
8371752,8388607,-3615900,-135776,8388607,-7444151,-3453039,2625652,1405125867.594013,0
8371608,8388607,-3615652,-135341,8388607,-7443872,-3452632,2626384,1405125867.601027,0
8371953,8388607,-3615636,-135354,8388607,-7444094,-3453378,2626304,1405125867.607461,0
8371832,8388607,-3615018,-134425,8388607,-7443889,-3452476,2627209,1405125867.613657,0
8372024,8388607,-3615278,-134907,8388607,-7443959,-3453307,2627146,1405125867.622843,0
8371859,8388607,-3614718,-134152,8388607,-7443643,-3452514,2628218,1405125867.627804,0
8372076,8388607,-3614901,-134306,8388607,-7443751,-3453305,2628021,1405125867.634714,0
8372196,8388607,-3614981,-134466,8388607,-7443812,-3453579,2628066,1405125867.642778,0
8371968,8388607,-3614114,-133359,8388607,-7443417,-3452242,2629584,1405125867.648895,0
8372384,8388607,-3614366,-133794,8388607,-7443731,-3453435,2629188,1405125867.655457,0
8372116,8388607,-3613887,-133098,8388607,-7443378,-3452783,2629892,1405125867.661926,0
8372198,8388607,-3613817,-132979,8388607,-7443336,-3452912,2630218,1405125867.669671,0
8372281,8388607,-3613626,-132849,8388607,-7443286,-3453032,2630604,1405125867.675751,0
8372249,8388607,-3613171,-132168,8388607,-7443109,-3452625,2631392,1405125867.68323,0
8372423,8388607,-3613497,-132751,8388607,-7443239,-3453446,2631028,1405125867.690195,0
8371863,8388607,-3612710,-131575,8388607,-7442521,-3452424,2632244,1405125867.695609,0
8372440,8388607,-3613159,-132266,8388607,-7442996,-3453556,2631844,1405125867.704103,0
8372103,8388607,-3612232,-131044,8388607,-7442495,-3452447,2633164,1405125867.710183,0
8372045,8388607,-3612144,-130912,8388607,-7442371,-3452471,2633381,1405125867.71686,0
8372391,8388607,-3612575,-131666,8388607,-7442609,-3453430,2633106,1405125867.724036,0
8372258,8388607,-3611899,-130663,8388607,-7442328,-3452441,2634339,1405125867.731256,0
8372371,8388607,-3612186,-131034,8388607,-7442395,-3453254,2633986,1405125867.738633,0
8372308,8388607,-3611746,-130562,8388607,-7442174,-3452605,2635039,1405125867.744574,0
8372456,8388607,-3611597,-130254,8388607,-7442195,-3452844,2635343,1405125867.756176,7
8372396,8388607,-3611546,-130339,8388607,-7442012,-3452867,2635791,1405125867.763902,7
8372202,8388607,-3611124,-129702,8388607,-7441743,-3452302,2636437,1405125867.767527,7
8372704,8388607,-3611613,-130517,8388607,-7442157,-3453518,2635970,1405125867.772682,7
8372219,8388607,-3610427,-128827,8388607,-7441490,-3452157,2637463,1405125867.77801,7
8372473,8388607,-3610441,-128827,-1048576,2093178,-6291457,-902750,1405125867.785685,7
8372643,8388607,-3610825,-129449,8388607,-7441756,-3453162,2637431,1405125867.795799,7
8372574,8388607,-3610066,-128276,8388607,-7441530,-3452416,2638481,1405125867.800872,7
8372904,8388607,-3610407,-128911,8388607,-7441735,-3453087,2638461,1405125867.80631,7
8372541,8388607,-3609760,-128002,8388607,-7441287,-3452163,2639389,1405125867.815052,7
8372684,8388607,-3610064,-128500,8388607,-7441318,-3453009,2639272,1405125867.822462,7
8372558,8388607,-3609441,-127510,8388607,-7441049,-3452376,2640168,1405125867.833543,7
8372879,8388607,-3609378,-127396,8388607,-7441254,-3452876,2640210,1405125867.840661,7
8372904,8388607,-3609342,-127483,8388607,-7441216,-3453119,2640289,1405125867.846012,7
8372606,8388607,-3608487,-126264,8388607,-7440749,-3451829,2641653,1405125867.849628,7
8372919,8388607,-3609311,-127575,8388607,-7440981,-3453204,2641044,1405125867.858755,7
8372713,8388607,-3608830,-126872,8388607,-7440691,-3452554,2641724,1405125867.861992,7
8372947,8388607,-3608372,-126128,8388607,-7440797,-3452474,2642181,1405125867.867229,7
8373053,8388607,-3608246,-126117,8388607,-7440759,-3452543,2642657,1405125867.880149,7
8373109,8388607,-3607987,-125806,8388607,-7440682,-3452139,2643456,1405125867.884219,7
8373290,8388607,-3608433,-126434,8388607,-7440834,-3453079,2642958,1405125867.894216,7
8372998,8388607,-3607362,-124771,8388607,-7440376,-3451951,2644186,1405125867.897654,7
8373183,8388607,-3607694,-125262,8388607,-7440450,-3452844,2643966,1405125867.903989,7
8372723,8388607,-3606886,-124151,8388607,-7439830,-3451811,2645199,1405125867.908158,7
8372744,8388607,-3606818,-124062,8388607,-7439788,-3451783,2645451,1405125867.915848,7
8372997,8388607,-3607595,-125299,8388607,-7439957,-3452943,2645014,1405125867.92562,7
8372660,8388607,-3606509,-123774,8388607,-7439458,-3451805,2646371,1405125867.930235,7
8372894,8388607,-3606654,-124038,8388607,-7439642,-3452507,2646093,1405125867.941595,7
8372748,8388607,-3606421,-123899,8388607,-7439351,-3451996,2646874,1405125867.945906,7
8372825,8388607,-3606353,-123752,8388607,-7439318,-3452371,2646972,1405125867.95621,7
8372906,8388607,-3605931,-123167,8388607,-7439269,-3452306,2647472,1405125867.959617,7
8372671,8388607,-3605394,-122405,8388607,-7438948,-3451559,2648246,1405125867.96468,7
8373104,8388607,-3605744,-123101,8388607,-7439271,-3452610,2647966,1405125867.973278,7
8372955,8388607,-3604876,-121806,8388607,-7438969,-3451374,2649317,1405125867.978211,7
8372973,8388607,-3605112,-122093,8388607,-7438944,-3451836,2649138,1405125867.988999,7
8373238,8388607,-3605422,-122759,8388607,-7439095,-3452420,2649152,1405125867.995318,7
8372930,8388607,-3604415,-121318,8388607,-7438622,-3451546,2650288,1405125868.000108,7
8373299,8388607,-3604649,-121743,8388607,-7438887,-3452332,2650192,1405125868.010935,7
8373241,8388607,-3604055,-120906,8388607,-7438748,-3451487,2651064,1405125868.018373,7
8373497,8388607,-3604420,-121477,8388607,-7438903,-3452385,2650817,1405125868.024112,7
8373236,8388607,-3603952,-120948,8388607,-7438506,-3451769,2651688,1405125868.033584,7
8373168,8388607,-3603909,-120959,8388607,-7438321,-3452167,2651828,1405125868.045994,7
8373376,8388607,-3603921,-121030,8388607,-7438479,-3452519,2651776,1405125868.050069,7
8373029,8388607,-3603141,-119871,8388607,-7437979,-3451394,2653009,1405125868.057385,7
8373526,8388607,-3603833,-120952,8388607,-7438386,-3452681,2652458,1405125868.062033,7
8373442,8388607,-3603444,-120489,8388607,-7438224,-3452062,2653171,1405125868.065804,7
8373557,8388607,-3602873,-119726,8388607,-7438202,-3451792,2653762,1405125868.073579,7
8373640,8388607,-3602896,-119979,8388607,-7438171,-3452041,2654012,1405125868.077432,7
8373478,8388607,-3602421,-119137,8388607,-7437878,-3451676,2654667,1405125868.081229,7
8373614,8388607,-3602869,-119822,8388607,-7437974,-3452546,2654226,1405125868.089316,7
8373699,8388607,-3602105,-118892,8388607,-7437896,-3451325,2655589,1405125868.095281,7
8373767,8388607,-3602447,-119384,8388607,-7437866,-3452302,2655233,1405125868.107198,7
8373597,8388607,-3602499,-119558,8388607,-7437638,-2097152,4186692,1405125868.112686,7
8373558,8388607,-3601834,-118494,8388607,-7437454,-3451381,2656593,1405125868.122167,7
8373714,8388607,-3602032,-118846,8388607,-7437512,-3452381,2656286,1405125868.128597,7
8373471,8388607,-3601112,-117554,8388607,-7437108,-3451090,2657682,1405125868.137943,7
8373661,8388607,-3601336,-117897,8388607,-7437259,-3451885,2657273,1405125868.1466,7
8373476,8388607,-3601117,-117664,8388607,-7436951,-3451737,2657731,1405125868.154638,7
8373436,8388607,-3601272,-117960,8388607,-7436796,-3451941,2658027,1405125868.15848,7
8373399,8388607,-3600912,-117617,8388607,-7436624,-3451792,2658598,1405125868.164496,7
8373286,8388607,-3600330,-116773,8388607,-7436430,-3451044,2659391,1405125868.172153,7
8373756,8388607,-3600713,-117229,8388607,-7436804,-3452310,2658892,1405125868.175398,7
8373256,8388607,-3600086,-116282,8388607,-7436166,-3451281,2660115,1405125868.179092,7
8373916,8388607,-3600512,-116954,8388607,-7436734,-3452337,2659711,1405125868.187596,7
8373882,8388607,-3600259,-116763,8388607,-7436628,-3452032,2660168,1405125868.19405,7
8373709,8388607,-3599523,-115713,8388607,-7436312,-3451196,2661173,1405125868.199636,7
